"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","135","POST /carts/:cartId/items — qty={{quantity}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Quantities","",""
"","155","GET /products/:productId — happy","Grocery API","2026-06-17","passed","2026-06-17","","02 Products","",""
"","63","DELETE item","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","68","GET /products/:id — strict product schema","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","01 Strict Contract","",""
"","100","GET /products?results=0 — boundary (<1)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","02 Pagination Contract","",""
"","99","GET /products?results={{results}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Results BVA","",""
"","86","POST /carts/:cartId/items — 400 malformed JSON","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","94","E2E 10 — PATCH order customerName","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","79","GET /orders — 401 no Authorization header","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","180","E2E 04 — PATCH item A qty to 7","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","226","POST /carts/:cartId/items — qty={{quantity}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Quantities","",""
"","182","POST /orders — 400 missing cartId","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","55","POST /api-clients — wrong Content-Type (text/plain)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","03 Negative Bodies","",""
"","187","POST /carts/:cartId/items — 400 nonexistent productId","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","95","E2E 12 — DELETE order","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","141","POST /api-clients — 400 empty body","Grocery API","2026-06-17","passed","2026-06-17","","01 Auth (api-clients)","",""
"","85","GET /products?results=21 — boundary (>20)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","02 Pagination Contract","",""
"","283","GET /status — UP","Grocery API","2026-06-17","passed","2026-06-17","","00 Status","",""
"","95","GET /carts/NOPE/items — 404","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","60","GET — qty=2 after repeated PUT","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","195","POST /orders — happy (cart should be consumed)","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","63","GET /products?results=abc — non-numeric","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","02 Pagination Contract","",""
"","169","Setup: fresh cart + item","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","170","GET /orders/:orderId — 401 no token","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","157","POST /api-clients — 409 duplicate email","Grocery API","2026-06-17","passed","2026-06-17","","01 Auth (api-clients)","",""
"","103","GET /products?category={{category}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Categories","",""
"","95","DELETE /orders/NOPE — 404","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","54","DELETE item (repeat — 404 not 204)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","61","GET — qty still 4 after repeated PATCH","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","239","Setup: POST /carts (fresh cart per iteration)","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Quantities","",""
"","204","Read-after-write: 3 consecutive GETs agree","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","52","POST /api-clients — clientEmail wrong type (number)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","03 Negative Bodies","",""
"","106","GET /products?category={{category}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Categories","",""
"","147","GET /carts/:cartId/items — empty initially","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","111","GET /products?results={{results}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Results BVA","",""
"","94","E2E 06 — DELETE item B","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","90","GET /orders — 401 invalid bearer","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","245","POST /carts/:cartId/items — qty={{quantity}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Quantities","",""
"","143","POST /api-clients — 400 malformed JSON","Grocery API","2026-06-17","passed","2026-06-17","","01 Auth (api-clients)","",""
"","142","POST /api-clients — 400 missing clientName","Grocery API","2026-06-17","passed","2026-06-17","","01 Auth (api-clients)","",""
"","86","GET /orders — happy (auth)","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","64","GET /products?results=1 — returns exactly 1","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","02 Pagination Contract","",""
"","187","GET /products/:id?product-label=true","Grocery API","2026-06-17","passed","2026-06-17","","02 Products","",""
"","173","POST /orders — 401 unauthenticated","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","126","GET /products?category={{category}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Categories","",""
"","92","PATCH /orders/:orderId — happy","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","234","POST /api-clients — register","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","00 Setup","",""
"","181","DELETE .../items/:itemId — happy","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","91","POST /carts — happy","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","84","POST /carts/:cartId/items — 400 missing productId","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","248","POST /carts/:cartId/items — qty={{quantity}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Quantities","",""
"","85","PATCH /orders/:orderId — 401 no token","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","167","POST /carts/:cartId/items — quantity wrong type (string)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","03 Negative Bodies","",""
"","175","GET /products/99999999 — 404","Grocery API","2026-06-17","passed","2026-06-17","","02 Products","",""
"","94","GET /products?available=false","Grocery API","2026-06-17","passed","2026-06-17","","02 Products","",""
"","91","GET /products?available=notabool — 400","Grocery API","2026-06-17","passed","2026-06-17","","02 Products","",""
"","179","GET /carts/:cartId/items — DELETE took effect","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","75","GET /products?category={{category}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Categories","",""
"","61","POST /carts/:cartId/items — productId as string","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","03 Negative Bodies","",""
"","98","GET /products?results={{results}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Results BVA","",""
"","106","GET /products?category={{category}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Categories","",""
"","87","POST /carts/:cartId/items — quantity negative","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","03 Negative Bodies","",""
"","180","GET /products?available=true","Grocery API","2026-06-17","passed","2026-06-17","","02 Products","",""
"","90","PUT replace qty=2 (repeat — idempotent)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","182","GET /orders/:orderId — 404 after delete","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","178","GET /carts/:cartId/items — PATCH took effect (qty=5)","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","240","POST /carts/:cartId/items — qty={{quantity}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Quantities","",""
"","184","PATCH .../items/BAD — 404 bad item","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","88","E2E 11 — verify PATCH","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","91","GET /carts/:cartId — 404 (cart deleted after order)","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","105","GET /products?category={{category}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Categories","",""
"","86","E2E 13 — order gone","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","71","PUT replace qty=2 (first)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","113","GET /products?category={{category}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Categories","",""
"","90","POST /orders — 400 missing customerName","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","52","POST /carts/:cartId/items — array body instead of object","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","03 Negative Bodies","",""
"","84","DELETE /orders/:orderId — 401 no token","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","176","GET /carts/:cartId/items — PUT replaced qty (=3)","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","194","GET /products?results={{results}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Results BVA","",""
"","221","GET /products?category={{category}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Categories","",""
"","149","DELETE .../items/:itemId — 404 second delete (idempotency probe)","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","87","E2E 08 — cart is deleted","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","179","GET /orders — 401 malformed (no Bearer prefix)","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","167","PATCH .../items/:itemId — happy (qty=5)","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","101","E2E 02 — add item A (default qty)","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","91","GET /carts/:cartId — happy","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","149","GET /carts/NOPE — 404","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","94","DELETE /orders/:orderId — happy","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","68","GET /products?results={{results}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Results BVA","",""
"","111","GET /products?results={{results}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Results BVA","",""
"","150","GET /carts/:cartId/items — default qty is 1","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","118","PUT .../items/:itemId — happy replace","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","246","POST /carts/:cartId/items — qty={{quantity}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Quantities","",""
"","71","GET /products?category={{category}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Categories","",""
"","66","GET /products?results=20 — at most 20","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","02 Pagination Contract","",""
"","67","PATCH item qty=4 (first call)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","98","E2E 07 — POST /orders","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","187","GET /orders/:orderId?invoice=true","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","177","GET /products/abc — 400 (non-numeric id)","Grocery API","2026-06-17","passed","2026-06-17","","02 Products","",""
"","100","E2E 03 — add item B (qty=3)","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","485","POST /orders setup — fresh cart + item (writes cartId)","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","175","POST /carts/:cartId/items — happy (default qty=1)","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","99","POST /orders — 400 invalid cartId","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","181","POST /carts/:cartId/items — 400 out-of-stock productId","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","194","PUT .../items/:itemId — idempotent on repeat","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","65","GET /status — strict schema + header","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","01 Strict Contract","",""
"","65","POST /carts/:cartId/items — quantity zero","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","03 Negative Bodies","",""
"","92","E2E 01 — POST /carts","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","166","POST /api-clients — register (stores token)","Grocery API","2026-06-17","passed","2026-06-17","","01 Auth (api-clients)","",""
"","180","GET /orders/NOPE — 404","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","87","GET /orders/:orderId — PATCH took effect","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
"","72","PATCH item qty=4 (repeat — idempotent)","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","04 Idempotency & Consistency","",""
"","88","E2E 05 — verify cart state","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","155","GET /products — happy","Grocery API","2026-06-17","passed","2026-06-17","","02 Products","",""
"","93","E2E 09 — GET order matches","Grocery API","2026-06-17","passed","2026-06-17","","99 E2E Workflow","",""
"","96","GET /products?results={{results}}","Grocery API — data-driven","2026-06-17","passed","2026-06-17","","Results BVA","",""
"","110","GET /products — strict array schema + header","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","01 Strict Contract","",""
"","72","GET /products?results=-5 — negative","Grocery API — Advanced Contract","2026-06-17","passed","2026-06-17","","02 Pagination Contract","",""
"","147","POST /api-clients — 400 missing clientEmail","Grocery API","2026-06-17","passed","2026-06-17","","01 Auth (api-clients)","",""
"","96","POST /carts/NOPE/items — 404 bad cartId","Grocery API","2026-06-17","passed","2026-06-17","","03 Cart","",""
"","92","GET /orders/:orderId — happy","Grocery API","2026-06-17","passed","2026-06-17","","04 Orders","",""
